"","Industry","Buildings.Total","Design.and.Envelope","Equipment.and.Operation","Appliances","Other","Transport.EE","Transport.Liquid.Biofuels","Ag.Forestry.EE","Renewable.Energy.Total","Solar","Wind","Ocean","Geothermal","Hydro.Total","Small.Hydro","All.Biofuels","Nuclear","Hydrogen.Power","Transmission.Storage.Load.Management"
"1980",96.565,142.274,0,0,0,142.274,43.982,0,0,544.562,280.697,89.1,30.085,66.958,0,0,77.722,4851.415,0,230.432
"1981",131.696,130.102,0,0,0,130.102,46.331,0,0,647.936,285.881,127.665,21.448,98.191,0,0,114.738,5447.797,0,174.604
"1982",123.167,142.891,0,0,0,142.891,84.47,0,0,596.062,296.976,122.068,14.037,66.021,0,0,96.962,5640.699,0,33.603
"1983",195.95,144.137,0,0,0,144.137,92.024,0,0,472.43,201.29,83.736,6.808,65.315,0,0,115.292,4588.686,0,138.712
"1984",164.963,128.673,0,0,0,128.673,91.856,0,0,649.011,360.29,107.108,4.219,68.322,0,0,109.059,5133.907,0,140.502
"1985",145.378,117.76,0,0,0,117.76,96.874,0,0,503.517,223.417,139.085,2.709,51.028,0.23,0.23,87.053,5117.267,0,111.602
"1986",143.984,96.671,0,0,0,96.671,103.008,0,0,388.653,184.589,71.784,3.296,41.29,0.061,0.061,87.629,4153.937,0,108.434
"1987",140.373,91.449,0,0,0,91.449,90.858,0,0,364.901,174.437,76.676,7.832,37.457,0.486,0.486,68.015,3095.864,0,158.913
"1988",116.996,83.788,0,0,0,83.788,77.203,0,0,401.12,209.875,82.023,6.807,28.788,0.236,0.236,73.398,2778.615,0,193.537
"1989",98.187,82.384,0,0,0,82.384,66.559,0,0,377.396,181.852,100.88,6.542,26.5,0.57,0.57,61.058,2232.588,0,196.107
"1990",134.976,65.255,0,0,0,65.255,75.327,0,0,421.859,207.519,117.054,8.996,27.826,0.444,0.444,60.016,1978.726,0,100.842
"1991",178.015,123.158,0,0,0,123.158,59.244,0,0,419.62,209.113,103.575,9.468,25.878,0.767,0.767,70.827,1850.923,0,138.592
"1992",113.289,70.347,0,0,0,70.347,65.485,0,0,380.61,186.541,79.941,1.801,11.53,11.832,11.743,88.96,1397.927,0,82.477
"1993",154.671,73.604,0,0,0,73.604,75.398,0,0,415.961,209.119,100.537,3.182,12.586,2.142,1.071,88.382,1490.742,0,124.741
"1994",122.404,71.23,0,0,0,71.23,73.014,0,0,343.254,181.533,68.556,1.75,8.077,1.726,0.736,81.618,1373.808,0,159.235
"1995",125.279,77.09,0,0,0,77.09,73.676,0,0,341.502,168.771,79.825,1.196,7.349,2.111,1.138,82.241,1379.723,0,110.995
"1996",142.085,94.047,0,0,0,94.047,70.19,0,0,350.466,168.792,97.631,1.373,5.897,2.318,1.349,74.431,1331.422,0,116.009
"1997",155.444,87.892,0,0,0,87.892,64.724,0,0,345.451,170.601,83,0.987,8.167,2.851,1.231,79.849,1335.893,0,141.196
"1998",156.345,91.382,0,0,0,91.382,69.828,0,0,361.716,170.74,88.319,2.642,7.787,3.023,1.171,89.205,1394.728,0,133.014
"1999",110.529,81.25,0,0,0,81.25,47.914,0,0,304.085,136.393,77.123,2.803,6.723,4.097,3.75,76.948,1221.909,0,91.823
"2000",101.716,74.999,0,0,0,74.999,56.849,0,0,345.166,170.875,63.364,4.673,5.137,2.701,2.505,95.286,1370.735,0,229.731
"2001",110.372,101.044,0,0,0,101.044,66.132,0,0,393.949,192.14,74.021,5.665,17.228,3.76,3.626,96.482,1064.996,0,260.323
"2002",104.545,87.695,0,0,0,87.695,120.429,4.515,0,435.305,222.629,71.768,5.464,30.112,2.501,2.346,93.899,1222.278,32.077,248.192
"2003",88.562,79.896,0,0,0,79.896,107.052,3.517,0,429.724,208.462,64.812,5.07,25.914,14.708,14.559,106.352,1211.958,38.755,236.173
"2004",78.815,82.831,0,0,0,82.831,90.025,24.007,0,399.089,196.325,53.064,10.721,16.449,4.109,4.109,113.517,1116.526,92.143,187.188
"2005",83.044,114.898,0,2.348,0.066,112.483,90.911,30.347,0,528.537,244.519,95.439,7.215,23.858,3.141,2.511,139.683,1130.118,140.642,154.485
"2006",104.257,142.688,1.299,1.768,0.025,139.595,132.26,71.967,0,614.017,224.721,110.102,14.085,23.855,3.011,2.766,221.947,1150.799,201.12,226.473
"2007",154.953,215.519,0.588,2.07,0.04,212.821,155.532,76.01,0,746.891,246.709,104.011,13.167,28.119,5.757,5.053,339.959,1175.301,233.971,200.56
"2008",136.377,270.079,8.205,7.286,0.287,254.3,181.413,83.507,0,792.006,304.451,92.483,13.82,17.874,6.217,4.687,280.185,1101.616,214.085,224.386
"2009",192.453,322.758,13.177,5.13,1.342,303.108,336.601,185.862,0,1074.462,320.579,133.701,34.523,41.115,15.214,13.97,421.437,1149.665,189.533,215.801
"2010",144.565,192.531,0,2.649,0,189.882,249.004,71.843,0,833.204,186.082,183.328,63.014,21.534,2.964,2.964,262.431,534.109,96.062,136.261
