Year,Total,Manufacturing,Non Manufacturing - Total,Mining,All other Non-Manufacturing
1980,2599,2445,154,NA,NA
1981,2680,2486,194,NA,NA
1982,2762,2598,164,NA,NA
1983,2842,2699,143,NA,NA
1984,2962,2773,189,NA,NA
1985,2537,2453,84,NA,NA
1986,2167,NA,NA,NA,NA
1987,2410,2240,170,NA,NA
1988,2316.69109,2121.888841,194.8022497,NA,NA
1989,2417.565458,2170.005961,247.559497,NA,NA
1990,2558.245262,2268.271244,289.9740173,NA,NA
1991,2691,NA,274,NA,NA
1992,2084,NA,281,NA,NA
1993,1694,NA,403,NA,NA
1994,1660,NA,449,NA,NA
1995,1360,NA,398,NA,NA
1996,1306,NA,NA,NA,NA
1997,884,615,269,NA,NA
1998,1107,780,327,NA,NA
1999,935,NA,NA,NA,NA
2000,1151,810,341,NA,NA
2001,1302,934,369,268,101
2002,1603,1400,202,10,192
2003,1847,1500,347,150,197
2004,2688,1870,409,165,244
2005,3397,2125,636,394,242
2006,5384,2618,1383,738,645
2007,7081,3439,1821,992,829
